STOREID,STORENAME,STORETYPE,STOREOPENINGDATE,ADDRESS,CITY,STATE,COUNTRY,REGION,MANAGERNAME
39,The Enchanted Avenue,Outlet Stores,2023-12-05,"628 Anthony Motorway Suite 745, Greenport  NY 33938",Lucaschester,Iowa,Honduras,West,Charles
40,The Luxe Sanctuary,SMB,2024-05-23,"7180 Christopher Meadow Suite 763, North Tamara  KS 61732",Rebeccafurt,Maryland,Tunisia,North,Richard
41,The Cozy Essentials,Outlet Stores,2022-01-14,"633 John Motorway Apt. 185, New Hannah  MD 12806",Jonesberg,Tennessee,Guyana,East,Heather
42,The Urban Vault,MBO,2025-05-19,"9180 Zuniga Trafficway, Pearsonbury  MH 71921",Christopherfort,West Virginia,Slovenia,South,Jose
43,The Vintage Closet,MBO,2017-01-24,"PSC 8791  Box 3416, APO AP 79055",New Tiffanyshire,Texas,Yemen,South,Melissa
44,The Polished Marketplace,MBO,2025-04-02,"0368 Harding Bridge, Ryanborough  AS 02524",Michaelville,Missouri,Dominica,East,Michael
45,The Timeless Marketplace,SMB,2020-02-06,"191 Kline Underpass, East Jeffreyville  WV 38973",Davidton,New York,New Caledonia,East,Victoria
46,The Cozy Vault,Outlet Stores,2021-02-11,"897 Williams Wall, Waltonstad  FL 39116",Christopherstad,New Mexico,El Salvador,West,Alec
47,The Radiant Finds,Exclusive,2025-10-20,"86125 Brian Ports, East Natalie  MI 58887",Lake Alexander,Utah,French Guiana,West,Lori
48,The Shimmer Corner,Outlet Stores,2021-06-28,"9930 Walters Knoll Apt. 786, East Jacobside  WY 50076",Anthonyton,Wyoming,Guadeloupe,West,Leah
49,The Blissful Haven,Exclusive,2019-04-14,"311 Martin Trace Suite 800, Jaytown  SD 62409",Paulland,Connecticut,Dominica,West,Benjamin
50,The Cozy Corner,Outlet Stores,2020-10-10,"9574 Robert Villages, Jefferymouth  ME 20231",Joseshire,Texas,Mexico,East,Natalie
51,The Enchanted Boutique,MBO,2021-06-08,"65732 Jones Burg, Brettfort  HI 56266",East Rachelhaven,Idaho,Indonesia,North,Connor
52,The Majestic Boutique,Outlet Stores,2022-01-08,"63575 Jon Hill Apt. 029, Dianeborough  WV 93498",New Tiffany,West Virginia,French Southern Territories,East,Jason
53,The Elegant Avenue,Outlet Stores,2022-07-10,"Unit 7341 Box 8552, DPO AP 87111",New Ashleyfurt,Arkansas,Haiti,East,Nancy
54,The Vintage Emporium,SMB,2019-11-22,"11810 Clark Burg, New Lorimouth  WV 48750",Dixonport,Idaho,Cook Islands,East,Jaclyn
55,The Elegant Nook,MBO,2019-03-24,"5721 Perez Roads Apt. 235, Davidside  KS 53423",Brandonland,Mississippi,Saint Lucia,North,Gregory
56,The Rustic Finds,MBO,2022-12-12,"USNV Petersen, FPO AA 35458",Paynefurt,Oregon,Kuwait,South,William
57,The Luxe Shoppe,Exclusive,2023-07-07,"7942 Raymond Plains Apt. 229, Meganhaven  DE 40081",Lake Pamela,Indiana,Congo,South,Jason
58,The Dapper Nook,MBO,2024-08-09,"437 Vanessa Union, Smithton  DC 31603",Andrealand,Vermont,Philippines,East,Cassandra
59,The Modern Nook,MBO,2019-05-16,"175 Michael Gardens Apt. 181, Dennisfort  OR 77541",Port Jerry,Rhode Island,Djibouti,South,Charles
60,The Classy Boutique,MBO,2023-10-31,"856 Mcguire Stravenue Suite 260, Ayalafurt  NV 16068",Crossland,North Dakota,Madagascar,East,Dylan
61,The Serene Treasures,Outlet Stores,2021-01-29,"15337 Kyle Stream, Port Michael  OR 82282",Millerville,New Mexico,Cambodia,West,Allison
62,The Chic Marketplace,MBO,2019-08-19,"993 Berry Crescent, Morrisonberg  OH 30284",South Derrickstad,New Mexico,Turks and Caicos Islands,East,Gregory
63,The Trendy Enclave,Exclusive,2022-01-24,"36826 Catherine Orchard Apt. 691, Fryeburgh  WV 26343",North Nicholasmouth,Maryland,Mauritius,South,Rachael
64,The Rustic Closet,Exclusive,2024-01-15,"21072 Bowen Keys, South Julieton  OH 93741",Kaitlynstad,Maine,Italy,South,Richard
65,The Trendy Enclave,Exclusive,2016-02-19,"75102 Holly Pike, North Cynthiafurt  GU 95767",Serranoside,Vermont,Brazil,East,Donald
66,The Rustic Haven,SMB,2020-03-28,"1161 Ramirez Stravenue Apt. 995, Gatesbury  PR 56390",Brianville,Georgia,Guatemala,North,Mitchell
67,The Luxe Enclave,MBO,2026-01-22,"756 Michelle Crest, Lake Denise  OK 06608",Port Eric,Maryland,Greenland,East,Laura
68,The Elegant Perfection,SMB,2017-11-16,"7977 Jason Pike Apt. 110, South Lawrenceborough  CT 71871",Rodneyton,Virginia,Ireland,East,Barbara
69,The Purely Hub,SMB,2024-01-31,"679 Stewart Green, East Michellehaven  DC 75734",New Tanyabury,Texas,Swaziland,North,Juan
70,The Stylish Boutique,SMB,2023-07-15,"93091 Manning Estate Apt. 314, Elizabethbury  RI 40936",Lake Teresa,Montana,Lao People's Democratic Republic,East,James
71,The Unique Sanctuary,Outlet Stores,2023-03-16,"2324 Juarez Highway, Whiteland  FL 76064",Smithberg,North Dakota,Suriname,North,Nathaniel
72,The Timeless Closet,Outlet Stores,2019-03-08,"3482 Hicks Mount Apt. 753, Bellstad  NJ 47677",New Toddton,North Carolina,Liechtenstein,West,Jennifer
73,The Purely Hub,MBO,2025-02-23,"5192 Kathleen Extensions Suite 533, New Robertside  ME 30578",Lake Kellyfort,Wyoming,Guinea-Bissau,East,John
74,The Urban Enclave,MBO,2020-06-25,"671 Greene Rapids, Port Lisaton  TN 62246",Frostmouth,Utah,Netherlands Antilles,West,Christopher
75,The Luxe Enclave,SMB,2019-08-13,"0688 Gillespie Cove Apt. 677, Stephenborough  IN 48609",Port Courtney,Mississippi,Andorra,East,Barbara
76,The Urban Shoppe,Exclusive,2016-01-20,"306 Hall Fields, South Peterburgh  MS 50074",Ryantown,Mississippi,United Arab Emirates,North,Luis
77,The Urban Shoppe,MBO,2021-10-15,"15091 Steele Rapids, Port Robert  VT 29864",Combsside,Oregon,Tuvalu,East,Nicole
78,The Vintage Avenue,Exclusive,2022-10-19,"Unit 9881 Box 4107, DPO AP 50017",Garrettmouth,North Carolina,Malawi,South,Laura
79,The Modern Sanctuary,Exclusive,2017-08-08,"657 Bennett Island Suite 226, Nelsonbury  ID 43290",East Davidport,Idaho,Seychelles,West,Thomas
80,The Blissful Shop,MBO,2025-05-31,"3269 Holt Island, Lake Sarahberg  MS 38868",North Bernardside,Mississippi,Timor-Leste,North,Curtis
81,The Artisan Merchant,Outlet Stores,2018-11-12,"58344 Christopher Islands Suite 707, North Rebeccachester  MT 21184",Danielland,Vermont,Tokelau,South,Anthony
82,The Purely Loft,Outlet Stores,2023-12-09,"PSC 7655  Box 0637, APO AA 01133",Wolfechester,Missouri,Portugal,North,Ryan
83,The Harmony Deals,SMB,2018-12-19,"062 Lopez River, New Kathystad  NJ 50364",East Kevinshire,Connecticut,Namibia,East,Zachary
84,The Modern Vault,MBO,2017-10-13,"98747 Howard Knoll Suite 287, New Annatown  SD 84154",Jacobton,California,Mauritania,East,Elizabeth
85,The Stylish Marketplace,SMB,2017-05-05,"03616 Padilla Parkway, Staceychester  FM 14132",New Steven,Delaware,Iran,South,Richard
86,The Enchanted Enclave,Exclusive,2022-09-14,"9513 Timothy Road, South Connieton  PA 95116",Samanthachester,Washington,Martinique,East,Sarah
87,The Whimsy Oasis,Exclusive,2025-03-23,"60799 Jennifer Mount Suite 004, Matthewchester  AK 20582",Lake Danatown,Kentucky,Slovakia (Slovak Republic),North,Erica
88,The Luxe Treasures,MBO,2016-08-06,"9006 Wilson Forest, Melissamouth  KY 47306",Davisstad,Oregon,Chile,South,Michael
89,The Chic Reflections,SMB,2025-12-18,"747 Vincent Center Suite 208, South Lindsay  DE 50635",East Brianbury,South Dakota,Niger,East,John
90,The Trendy Vault,Exclusive,2025-08-24,"3914 Dana Locks, Morrisside  NJ 65908",Whitefort,Nebraska,Cuba,North,Theresa
91,The Shimmer Elegance,SMB,2025-10-04,"025 Brown Square Suite 321, Port Kristinamouth  NJ 26394",Marioburgh,Indiana,Croatia,East,Scott
92,The Artisan Cabinet,Exclusive,2025-04-23,"58234 Heath Crossroad Suite 746, East Sarahburgh  NY 46476",Summermouth,Kansas,Sao Tome and Principe,North,Leslie
93,The Timeless Enclave,Exclusive,2025-04-22,"796 Edwards Junctions Suite 103, Hortonland  SD 02478",Sethfort,Maryland,Azerbaijan,East,Robin
94,The Radiant Haven,Outlet Stores,2025-12-25,"962 Maynard Parkways, Williamsland  CT 75227",Annamouth,Oklahoma,Gabon,West,Andrew
95,The Luxe Elegance,Outlet Stores,2025-04-13,"40955 Erica Freeway, West Kathleenchester  ND 71184",Port Jamie,Oklahoma,Malta,West,Courtney
96,The Serene Cabinet,MBO,2026-02-28,"40684 Brandi Mill, Malonebury  WY 79743",Josephton,Tennessee,Mexico,South,Nicolas
97,The Chic Marketplace,Exclusive,2025-11-25,"812 Hall Stream, Millerchester  CA 52839",West Laura,Louisiana,Iceland,East,Donald
98,The Trendy Creations,Outlet Stores,2025-10-19,"Unit 6834 Box 6523, DPO AE 31537",New Tamarabury,Oregon,Montserrat,East,Benjamin
99,The Vintage Deals,SMB,2025-07-22,"20402 Brown Coves Apt. 924, West Kellystad  DE 28237",East Travis,Delaware,Mauritania,West,Thomas
100,The Trendy Boutique,MBO,2025-11-11,"215 Williams Lodge, Melissaview  DE 88266",West Brianland,Iowa,Mauritius,East,Ellen
